# row col id
526.18	877.52	54471.00
94.48	1202.07	54058.00
852.26	460.03	37362.00
493.63	89.08	36972.00
347.67	686.13	54281.00
906.78	509.92	37418.00
567.89	1252.95	74546.00
68.60	1004.64	54033.00
713.33	201.00	37228.00
259.10	510.63	36699.00
649.88	197.44	37155.00
105.33	272.50	36509.00
143.31	617.00	54079.00
904.88	370.26	37434.00
192.73	103.11	36602.00
1035.37	672.31	-1.00
539.00	734.12	-1.00
1.39	271.34	36390.00
555.99	1161.90	54493.00
860.08	254.97	37406.00
436.19	1139.87	54374.00
516.79	440.50	-1.00
