# row col id
809.04	879.74	54471.00
377.66	1201.49	54058.00
630.37	687.61	54281.00
352.05	1004.92	54033.00
541.89	512.91	36699.00
112.72	777.80	53798.00
492.64	20.93	36620.00
775.61	89.60	36972.00
389.06	275.35	36509.00
109.58	648.24	53777.00
932.35	197.16	37155.00
766.50	316.09	36950.00
850.31	1256.90	74546.00
157.50	701.45	53828.00
475.81	106.88	36602.00
718.28	1141.50	54374.00
238.91	1270.49	74041.00
120.00	1044.50	-1.00
427.50	618.98	54079.00
651.72	996.30	-1.00
839.26	1164.75	54493.00
274.63	1009.57	-1.00
