# row col id
827.47	879.78	54471.00
391.15	1201.30	-1.00
647.32	687.81	54281.00
558.17	512.99	36699.00
123.99	777.22	-1.00
120.90	647.57	-1.00
953.74	197.89	37155.00
869.50	1257.01	74546.00
403.68	275.26	36509.00
169.93	700.96	-1.00
508.44	20.78	36620.00
794.61	90.26	36972.00
365.38	1004.79	54033.00
785.28	316.33	36950.00
441.87	618.87	54079.00
857.51	1165.40	54493.00
299.79	274.76	-1.00
735.66	1142.15	54374.00
491.61	106.78	36602.00
1018.82	200.45	-1.00
92.70	482.90	-1.00
841.14	736.50	-1.00
726.29	494.60	-1.00
467.50	497.00	-1.00
