# row col id
694.50	878.53	54471.00
263.38	1201.58	54058.00
515.92	687.01	54281.00
237.70	1004.61	54033.00
661.40	90.17	36972.00
735.99	1255.06	74546.00
1021.60	460.16	37362.00
881.92	200.52	37228.00
378.19	19.26	36620.00
361.13	105.23	36602.00
1029.44	253.88	37406.00
427.43	511.83	36699.00
651.81	315.94	36950.00
724.51	1163.20	54493.00
249.41	890.89	-1.00
604.10	1140.97	54374.00
42.53	700.98	53828.00
593.50	493.25	-1.00
554.50	265.42	-1.00
274.42	274.73	36509.00
123.04	1271.01	74041.00
312.47	618.62	54079.00
472.10	760.30	-1.00
