# row col id
856.37	879.71	54471.00
424.68	1201.64	54058.00
823.07	89.87	36972.00
677.67	688.18	54281.00
399.76	1004.85	54033.00
539.87	20.93	36620.00
160.00	778.39	53798.00
156.93	648.47	53777.00
589.13	512.86	36699.00
436.71	276.07	36509.00
522.47	106.92	36602.00
846.69	441.22	-1.00
205.42	701.67	53828.00
132.26	138.14	36123.00
814.05	316.33	36950.00
474.25	619.03	54079.00
332.65	275.09	36390.00
980.42	197.31	37155.00
286.00	1270.08	74041.00
411.21	891.16	-1.00
534.79	49.00	36617.00
128.38	484.16	-1.00
1038.00	727.50	54655.00
