# row col id
552.72	877.77	54471.00
121.50	1201.94	54058.00
374.40	686.27	54281.00
520.37	89.09	-1.00
879.23	459.93	37362.00
595.23	1253.08	74546.00
285.91	510.93	36699.00
95.54	1004.65	54033.00
739.94	200.95	37228.00
237.43	17.39	36620.00
932.17	370.35	37434.00
676.77	197.47	37155.00
887.64	254.29	37406.00
933.43	510.02	37418.00
219.78	103.38	36602.00
132.80	272.84	36509.00
171.16	617.00	54079.00
107.67	890.32	-1.00
583.89	1161.82	54493.00
413.70	265.00	-1.00
510.82	315.00	36950.00
463.10	1140.30	54374.00
537.18	1123.21	-1.00
759.40	89.01	37275.00
