# row col id
620.12	878.21	54471.00
189.20	1201.76	54058.00
587.82	89.87	36972.00
947.14	460.10	37362.00
441.94	686.77	54281.00
163.24	1004.43	54033.00
304.81	18.58	36620.00
662.25	1254.05	74546.00
353.69	511.18	36699.00
807.41	200.62	37228.00
799.71	725.79	54655.00
200.09	273.44	36509.00
649.72	1163.00	54493.00
954.58	254.40	37406.00
578.19	315.30	36950.00
96.82	272.50	36390.00
633.33	734.86	-1.00
1001.91	510.04	37418.00
238.23	617.11	54079.00
999.59	370.74	37434.00
287.67	104.84	36602.00
175.55	890.51	-1.00
743.85	197.67	37155.00
463.50	995.00	-1.00
