,Star ID,RA,DE,Magnitude
0,142,0.21837139,1.45624411,5.5
1,180,0.26840197,1.50080993,4.5
2,307,0.47478673,1.55384598,2.1
3,649,1.05401008,1.40613484,5.3
4,684,1.11877533,1.46071051,5.4
5,690,1.12678421,1.4086501,5.6
6,782,1.26932169,1.41575073,5.3
7,1167,1.91045333,1.52064002,5.3
8,1178,1.92284255,1.44014083,5.1
9,1550,2.48763146,1.42331756,4.6
10,1700,2.71704154,1.47494255,5.6
11,1713,2.72779727,1.44538497,5.3
12,2101,-2.92880545,1.46057127,5.3
13,2769,-1.8717998,1.43331063,4.4
14,2936,-1.62182262,1.51162375,4.4
15,3407,-0.90989795,1.41813577,5.6
16,3466,-0.82941485,1.40264898,5.6
17,3720,-0.44697744,1.49849611,5.4
18,3793,-0.31531663,1.44668039,5.0
19,3815,-0.28410614,1.46745247,5.0
20,4469,0.43203612,1.22820657,5.3
21,4553,0.5140378,1.23335277,4.6
22,4559,0.5197555,1.25979237,4.1
23,4561,0.52376109,1.34464747,5.4
24,4564,0.526559,1.32429121,5.3
25,4693,0.66859165,1.26713561,5.3
26,4839,0.81359389,1.29514155,4.9
27,4874,0.84604552,1.35357367,5.5
28,4999,0.97735828,1.2342793,5.4
29,5454,1.33537403,1.28955208,5.4
30,5495,1.37129327,1.3819293,5.2
31,5945,1.73546728,1.3896999,5.6
32,6021,1.80120387,1.34469707,4.8
33,6377,2.0693143,1.29249858,5.6
34,6391,2.08137416,1.38964027,5.3
35,6896,2.48751874,1.22263451,4.6
36,6935,2.52372371,1.2650398,5.4
37,7163,2.75282566,1.32595262,5.0
38,7521,-3.09847989,1.3595058,5.1
39,7539,-3.06912963,1.31664124,5.4
40,7599,-2.99922752,1.22691629,5.2
41,7957,-2.57868339,1.35755956,5.0
42,8023,-2.49755241,1.32502372,4.4
43,8101,-2.39621742,1.2978248,2.2
44,8206,-2.28150094,1.25672956,5.1
45,8273,-2.21283961,1.35291897,5.3
46,8327,-2.15636795,1.36047004,4.3
47,8416,-2.07197475,1.34264737,5.6
48,8445,-2.04107725,1.32652426,5.5
49,8526,-1.9702123,1.38006956,5.5
50,8889,-1.64575225,1.25967301,4.9
51,8938,-1.60708724,1.34339466,5.0
52,9083,-1.47709359,1.24462449,4.2
53,9086,-1.47498655,1.26905872,3.7
54,9282,-1.33074686,1.2432117,4.9
55,9340,-1.26092068,1.33479887,5.1
56,9365,-1.23689506,1.27868576,4.6
57,9539,-1.09802567,1.2241863,4.0
58,9664,-1.00090458,1.3537082,4.4
59,9801,-0.90674632,1.30522063,5.2
60,10056,-0.66312868,1.22768326,3.3
61,10125,-0.60564851,1.24059816,4.9
62,10215,-0.52995881,1.27307409,5.1
63,10264,-0.48498307,1.25829028,5.0
64,10401,-0.3950672,1.37126331,5.5
65,10424,-0.37291998,1.28078258,5.2
66,10628,-0.23430994,1.31104072,4.6
67,10817,-0.09915411,1.35006905,3.4
68,11255,0.13150628,1.09355607,4.2
69,11443,0.21845698,1.06203988,4.9
70,11611,0.29340607,1.19578267,5.3
71,11750,0.35941013,1.18455307,5.0
72,12030,0.48333826,1.10697455,3.4
73,12037,0.48904818,1.1945173,5.0
74,12297,0.63230778,1.17249891,4.6
75,12703,0.85330544,1.14269479,4.8
76,12742,0.87401588,1.12415731,5.5
77,12873,0.95030881,1.10055062,5.3
78,12915,0.98139399,1.14098893,4.7
79,12967,1.01602707,1.06403518,5.2
80,12968,1.01661409,1.09830084,4.9
81,13074,1.10160812,1.077339,5.6
82,13097,1.1167874,1.13483233,5.4
83,13297,1.26127856,1.15646796,4.4
84,13350,1.30446033,1.05368736,4.2
85,13755,1.60492508,1.14723013,5.4
86,13771,1.61960279,1.04747191,5.6
87,13786,1.628851,1.07397628,5.3
