,Star ID,RA,DE,Magnitude
149,15566,3.02438609,1.21477132,5.4
150,15605,3.05302375,1.16974963,5.5
151,15815,-3.01972249,1.21261981,5.3
152,15870,-2.96973138,1.0993349,5.9
153,15901,-2.94290182,1.17047025,5.7
154,15906,-2.93875462,1.05753446,5.9
155,15940,-2.90819456,1.1468446,5.3
156,15959,-2.8883706,1.16704296,5.5
157,15961,-2.88052513,1.11489121,6.0
158,16079,-2.76364822,1.05075061,5.4
159,16141,-2.70551646,1.13576201,5.7
160,16185,-2.66978164,1.07753278,6.0
161,16198,-2.66175625,1.13393629,4.8
162,16272,-2.60476115,1.12773272,3.6
163,16304,-2.56942696,1.21591742,5.4
164,16557,-2.37024423,1.1542065,4.9
165,16573,-2.35499312,1.05418614,5.9
166,16659,-2.294873,1.17873065,5.2
167,16711,-2.26158484,1.08602284,5.8
168,16712,-2.261084,1.10862349,5.8
169,16793,-2.19256601,1.21203658,5.9
170,16847,-2.1559306,1.09525742,5.1
171,16961,-2.06743791,1.18580724,5.4
172,17061,-1.99877883,1.20820607,5.4
173,17072,-1.99353187,1.07878636,5.6
174,17187,-1.91739362,1.1289415,5.0
175,17280,-1.85115393,1.13814472,4.8
176,17364,-1.79491507,1.14800966,3.2
177,17390,-1.7797691,1.09835601,5.5
178,17471,-1.72334377,1.04876689,5.7
179,17525,-1.69227538,1.18973859,5.2
180,17545,-1.6821892,1.08057896,5.3
181,17827,-1.51142444,1.12364486,5.0
182,17887,-1.45804616,1.14375702,5.0
183,18221,-1.25425003,1.17938215,3.2
184,18298,-1.21991998,1.14525189,4.6
185,18395,-1.16736455,1.21433275,4.8
186,18657,-1.04305341,1.12889137,5.4
187,18675,-1.03585822,1.18212707,4.7
188,18750,-1.00022892,1.08082699,5.7
189,18896,-0.92177542,1.09651435,4.3
190,19003,-0.86147633,1.16021509,5.6
191,19018,-0.85401228,1.07589299,3.6
192,19228,-0.74664676,1.19182644,5.2
193,19301,-0.7095359,1.08861877,2.6
194,19312,-0.70539939,1.12851986,5.2
195,19431,-0.66843855,1.16222638,5.4
196,19465,-0.65618525,1.05135905,5.5
197,19641,-0.58492738,1.05522931,5.6
198,19826,-0.51338569,1.1237093,4.6
199,19827,-0.51321014,1.09739545,5.5
200,19921,-0.48211353,1.2197297,5.5
201,19931,-0.47833177,1.05612554,5.5
202,20189,-0.36271948,1.10521545,5.2
203,20267,-0.31462438,1.15082066,3.7
204,20397,-0.25466703,1.16831463,5.5
205,20553,-0.18954057,1.18399316,4.9
206,20613,-0.16316428,1.08224638,5.2
207,20852,-0.06324825,1.17860344,5.0
208,20868,-0.05939653,1.08099784,5.6
209,21132,0.02834233,1.02754694,2.4
210,21365,0.09405238,0.9030863,5.4
211,21550,0.14548091,0.9406165,5.1
212,21608,0.16430189,0.98198332,2.5
213,21636,0.17132007,0.87682976,4.9
214,21676,0.1851057,0.95902812,5.5
215,21728,0.20065979,0.88481149,5.0
216,21731,0.20097795,1.00445226,3.6
217,21831,0.22696641,1.02455205,5.0
218,22023,0.28330228,0.95427312,5.3
219,22190,0.33561962,1.01175806,5.3
220,22267,0.3600831,1.04678236,2.8
221,22553,0.43856903,0.8803049,4.2
222,22689,0.47424422,0.9582004,5.5
223,22858,0.51904173,0.94678784,5.0
224,23046,0.56839018,0.88723381,5.4
225,23255,0.60586247,0.97072023,5.2
226,23654,0.72881569,0.97196625,4.0
227,23684,0.7448088,0.91733487,4.1
228,23762,0.77358266,0.91026736,5.4
229,23788,0.79045925,0.93047522,3.1
230,23790,0.79310437,0.98630684,5.1
231,23913,0.84044134,0.88582359,5.3
232,24053,0.89448605,1.0431496,4.4
233,24060,0.89842271,1.02463631,4.8
234,24313,1.01612525,0.88230747,5.5
235,24383,1.04837878,1.03007359,5.1
236,24411,1.05962604,0.87646237,4.3
237,24511,1.10307565,0.93354952,5.1
238,24543,1.11873017,0.88665456,5.5
239,24743,1.20426003,0.93160289,5.4
240,24828,1.23843787,0.98909317,5.4
241,24903,1.26953411,0.96305605,5.6
242,24918,1.2747365,0.92136945,5.8
243,25000,1.31678889,1.02808818,5.3
244,25018,1.32101746,0.89943177,5.0
245,25160,1.39267174,1.00353581,5.3
246,25446,1.52926826,1.04509923,5.3
247,25449,1.5300149,0.97211228,4.9
248,25501,1.55076272,0.94742357,3.9
249,25596,1.59511058,1.02878365,5.4
250,25680,1.64806155,0.9333554,5.4
251,25730,1.66771236,0.9828699,5.8
252,25841,1.71650144,0.99310001,5.8
253,25946,1.75653064,0.9987411,5.5
254,26011,1.78320436,1.03865363,5.4
255,26050,1.80184346,1.02085724,4.5
256,26247,1.88302002,1.04246999,5.3
257,26311,1.91460372,0.96652809,5.6
258,26332,1.92448781,0.90733283,5.9
259,26473,2.00183703,1.02677245,5.0
260,26487,2.00839096,0.8823355,5.3
261,26617,2.08202997,1.03297908,5.8
262,26686,2.11492505,0.9015106,4.9
263,26755,2.15417641,1.04242417,5.5
264,26818,2.18180425,0.93170136,5.6
265,27104,2.35774762,0.95089896,5.7
266,27135,2.37956125,0.90421761,4.5
267,27190,2.4111888,0.94648813,4.9
268,27297,2.49324968,0.91237188,4.6
269,27376,2.54382794,1.0011005,5.4
270,27400,2.5632416,1.03454542,3.9
271,27407,2.56876411,0.94769725,4.5
