,Star ID,RA,DE,Magnitude
0,142,0.21837139,1.45624411,5.5
1,180,0.26840197,1.50080993,4.5
2,307,0.47478673,1.55384598,2.1
3,649,1.05401008,1.40613484,5.3
4,684,1.11877533,1.46071051,5.4
5,690,1.12678421,1.4086501,5.6
6,692,1.1293265,1.45257281,5.7
7,782,1.26932169,1.41575073,5.3
8,1167,1.91045333,1.52064002,5.3
9,1178,1.92284255,1.44014083,5.1
10,1550,2.48763146,1.42331756,4.6
11,1700,2.71704154,1.47494255,5.6
12,1713,2.72779727,1.44538497,5.3
13,2101,-2.92880545,1.46057127,5.3
14,2458,-2.38429762,1.44371265,5.7
15,2769,-1.8717998,1.43331063,4.4
16,2936,-1.62182262,1.51162375,4.4
17,3407,-0.90989795,1.41813577,5.6
18,3457,-0.84504194,1.43724126,5.7
19,3466,-0.82941485,1.40264898,5.6
20,3720,-0.44697744,1.49849611,5.4
21,3793,-0.31531663,1.44668039,5.0
22,3815,-0.28410614,1.46745247,5.0
23,3915,-0.14150184,1.51899098,5.6
24,4225,0.19368254,1.30157871,5.4
25,4452,0.41222278,1.27035952,5.5
26,4469,0.43203612,1.22820657,5.3
27,4553,0.5140378,1.23335277,4.6
28,4559,0.5197555,1.25979237,4.1
29,4561,0.52376109,1.34464747,5.4
30,4564,0.526559,1.32429121,5.3
31,4693,0.66859165,1.26713561,5.3
32,4839,0.81359389,1.29514155,4.9
33,4874,0.84604552,1.35357367,5.5
34,4999,0.97735828,1.2342793,5.4
35,5005,0.98193817,1.24234277,4.7
36,5454,1.33537403,1.28955208,5.4
37,5495,1.37129327,1.3819293,5.2
38,5945,1.73546728,1.3896999,5.6
39,6021,1.80120387,1.34469707,4.8
40,6377,2.0693143,1.29249858,5.6
41,6391,2.08137416,1.38964027,5.3
42,6486,2.15249421,1.32492792,5.7
43,6896,2.48751874,1.22263451,4.6
44,6935,2.52372371,1.2650398,5.4
45,7163,2.75282566,1.32595262,5.0
46,7521,-3.09847989,1.3595058,5.1
47,7539,-3.06912963,1.31664124,5.4
48,7592,-3.00476247,1.22284051,3.9
49,7599,-2.99922752,1.22691629,5.2
50,7853,-2.72281136,1.24784564,5.7
51,7957,-2.57868339,1.35755956,5.0
52,8023,-2.49755241,1.32502372,4.4
53,8101,-2.39621742,1.2978248,2.2
54,8206,-2.28150094,1.25672956,5.1
55,8219,-2.26548485,1.25684539,3.1
56,8273,-2.21283961,1.35291897,5.3
57,8327,-2.15636795,1.36047004,4.3
58,8416,-2.07197475,1.34264737,5.6
59,8445,-2.04107725,1.32652426,5.5
60,8469,-2.0117619,1.3242038,5.0
61,8526,-1.9702123,1.38006956,5.5
62,8889,-1.64575225,1.25967301,4.9
63,8938,-1.60708724,1.34339466,5.0
64,9083,-1.47709359,1.24462449,4.2
65,9086,-1.47498655,1.26905872,3.7
66,9240,-1.36557825,1.29203884,5.4
67,9282,-1.33074686,1.2432117,4.9
68,9340,-1.26092068,1.33479887,5.1
69,9365,-1.23689506,1.27868576,4.6
70,9539,-1.09802567,1.2241863,4.0
71,9664,-1.00090458,1.3537082,4.4
72,9801,-0.90674632,1.30522063,5.2
73,10056,-0.66312868,1.22768326,3.3
74,10125,-0.60564851,1.24059816,4.9
75,10130,-0.60010098,1.25822177,5.4
76,10215,-0.52995881,1.27307409,5.1
77,10264,-0.48498307,1.25829028,5.0
78,10401,-0.3950672,1.37126331,5.5
79,10424,-0.37291998,1.28078258,5.2
80,10628,-0.23430994,1.31104072,4.6
81,10817,-0.09915411,1.35006905,3.4
82,11255,0.13150628,1.09355607,4.2
83,11443,0.21845698,1.06203988,4.9
84,11481,0.23418858,1.05499035,2.8
85,11611,0.29340607,1.19578267,5.3
86,11750,0.35941013,1.18455307,5.0
