Star ID,Ra,De,Magnitude
15542,3.02093564,1.06609292,5.5
15567,3.03707797,1.2099128,5.4
15606,3.0651156,1.16491768,5.5
15816,3.27297624,1.20778859,5.3
15871,3.32295345,1.09454901,5.9
15901,3.34804423,1.09573341,5.8
15902,3.34916663,1.16571181,5.7
15907,3.35389734,1.05278144,5.9
15941,3.38364982,1.14211636,5.3
15960,3.40303563,1.16234235,5.5
16080,3.52753433,1.0462525,5.4
16142,3.58445846,1.13136261,5.7
16186,3.62050547,1.07319006,6.0
16199,3.62780611,1.12963396,4.8
16273,3.68434271,1.12357035,3.6
16305,3.71784801,1.21182772,5.4
16406,3.79944026,1.10279768,6.0
16558,3.91644568,1.15073698,4.9
16574,3.93331756,1.05076854,5.9
16660,3.9908634,1.17542316,5.2
16712,4.02569413,1.08292735,5.8
16713,4.02577231,1.10551477,5.8
16794,4.09128164,1.20922112,5.9
16848,4.1306106,1.09256782,5.1
16962,4.2164008,1.18350995,5.4
17062,4.28396323,1.20618827,5.4
17073,4.29256639,1.07680852,5.6
17074,4.29347273,1.07362596,2.9
17107,4.3108906,1.20023006,5.0
17188,4.36733622,1.12729134,5.0
17281,4.43326138,1.13681546,4.8
17365,4.4889304,1.14693711,3.2
17391,4.50531825,1.09736559,5.5
17472,4.56267856,1.04804229,5.7
17526,4.59006067,1.18918067,5.2
17546,4.6032718,1.07992146,5.3
17576,4.61181976,1.20005281,4.9
17828,4.77302325,1.12394448,5.0
17888,4.82576782,1.14429899,5.0
17958,4.87626623,1.09129203,5.6
18222,5.02896887,1.18091678,3.2
18299,5.06437193,1.146934,4.6
18396,5.1153879,1.21581643,4.8
18658,5.24242678,1.13133949,5.4
18676,5.24828076,1.18461692,4.7
18700,5.26019365,1.08202579,5.6
18751,5.28652216,1.0834781,5.7
18807,5.32155638,1.08659749,5.6
18826,5.32844526,1.11666883,5.9
18897,5.36506104,1.09945411,4.3
18979,5.41181812,1.0560152,6.0
19004,5.42441277,1.16339256,5.6
19019,5.4336023,1.079291,3.6
19229,5.5393851,1.19538032,5.2
19302,5.57885645,1.09232411,2.6
19313,5.58230777,1.13222602,5.2
19541,5.66324763,1.08353419,4.9
19624,5.69609662,1.06675867,4.5
19753,5.7449822,1.11047689,4.9
19827,5.77612542,1.12796867,4.6
19849,5.78205001,1.08698902,5.2
19922,5.8060512,1.224046,5.5
20190,5.92823224,1.10975742,5.2
20268,5.97635832,1.15541519,3.7
20398,6.03686888,1.17302333,5.5
20554,6.10265638,1.18877139,4.9
20614,6.12976003,1.08704032,5.2
20838,6.22476717,1.16557126,5.9
20853,6.23044335,1.18345225,5.0
21133,0.04004942,1.03235736,2.4
21489,0.13863812,0.95159326,4.9
21551,0.1576825,0.94541853,5.1
21566,0.16131911,0.94067846,3.7
21609,0.1767484,0.98676276,2.5
21637,0.18354311,0.88160983,4.9
21729,0.21307998,0.88956426,5.0
21732,0.21424207,1.00907767,3.6
21832,0.23999186,1.0292673,5.0
21855,0.24724189,1.03290398,4.8
22070,0.31024558,0.96254598,4.5
22191,0.34942277,1.01633291,5.3
22268,0.37444483,1.05130349,2.8
22397,0.40985625,1.03379439,4.9
22554,0.45230535,0.88468481,4.2
22690,0.48864994,0.96250404,5.5
22859,0.53364242,0.95098768,5.0
23047,0.58296484,0.89126741,5.4
23256,0.62114814,0.97469187,5.2
23319,0.63540224,0.8775277,4.9
23655,0.7448066,0.97556017,4.0
23685,0.76034229,0.92087949,4.1
23763,0.78919389,0.91370953,5.4
23789,0.8063267,0.93386382,3.1
23791,0.80957177,0.98970418,5.1
24054,0.91223655,1.04615491,4.4
24061,0.91592341,1.02762785,4.8
24064,0.91631327,0.96781867,5.0
24384,1.06662539,1.03245868,5.1
24412,1.07592465,0.87879529,4.3
24512,1.12014657,0.93570219,5.1
24531,1.12680209,0.87782324,4.6
24743,1.2213457,0.92641388,5.3
24744,1.22159194,0.93328214,5.4
24829,1.25665771,0.99060045,5.4
24904,1.28740722,0.96445406,5.6
24929,1.29715633,0.93815151,4.4
25001,1.33579262,1.02926201,5.3
25019,1.33813077,0.90055028,5.0
25161,1.41136152,1.00433808,5.3
25447,1.548819,1.04524841,5.3
25450,1.54830834,0.97227115,4.9
25502,1.5687332,0.94744655,3.9
25597,1.61436374,1.02862405,5.4
25665,1.65641905,1.02993513,4.4
25681,1.66578587,0.93291509,5.4
25733,1.68779847,1.01957248,5.5
25842,1.73503872,0.99235291,5.8
25939,1.77253697,1.03745483,4.9
25947,1.77511453,0.99779033,5.5
26012,1.80242021,1.03757424,5.4
26051,1.82070842,1.01966731,4.5
26223,1.89101923,0.89760053,5.7
26248,1.90203648,1.04087127,5.3
26312,1.93237444,0.96484293,5.6
26333,1.94147532,0.90560306,5.9
26474,2.02024813,1.02468998,5.0
26488,2.024883,0.88023349,5.3
26618,2.10026566,1.03057145,5.8
26687,2.13129653,0.89896087,4.9
26732,2.15476866,0.98527846,5.9
26756,2.17223919,1.03971242,5.5
26819,2.19828212,0.92885705,5.6
26935,2.26181363,0.93203021,5.7
26946,2.2658457,0.9199917,6.0
27105,2.37367556,0.9474323,5.7
27136,2.39490226,0.90066916,4.5
27185,2.42527215,0.99032193,5.5
27191,2.42683429,0.9428592,4.9
27289,2.49955976,0.90193957,3.3
27298,2.50814424,0.90846962,4.6
27377,2.55921148,0.99707233,5.4
27401,2.57867859,1.03042053,3.9
27408,2.58354951,0.94360067,4.5
27430,2.59930329,0.86952163,5.3
27438,2.60589307,1.00213669,6.0
27464,2.6173881,0.99155224,5.7
27503,2.63808916,0.94058833,5.7
27670,2.75162632,0.97704525,4.8
27695,2.77141574,0.99628024,5.2
27724,2.78856898,0.93668868,5.7
27748,2.80876847,0.99831398,5.8
27791,2.84132999,0.98754574,5.8
27793,2.8422484,1.03532849,5.7
27815,2.85175244,0.95268996,5.4
27876,2.88782833,0.98405818,2.4
28017,2.9930319,0.9747738,5.9
28064,3.03286671,0.95618358,5.8
28081,3.04508809,0.88344906,6.0
28142,3.0845502,0.97089437,5.4
28179,3.1146735,0.93715042,2.5
28191,3.12402366,0.98783144,5.9
28315,3.208902,0.9954066,3.4
28346,3.23255347,1.00991746,5.7
28366,3.24641916,0.899932,5.0
28394,3.26195347,0.97237073,5.8
28405,3.27229803,1.01937317,5.4
28444,3.30036846,1.03824144,5.5
28553,3.37733988,0.97668407,1.7
28572,3.38721669,0.94421246,6.0
28601,3.40657843,0.98377975,4.9
28737,3.50778818,0.95862883,2.4
28751,3.51345672,0.95972335,4.0
28803,3.55227568,0.96601395,5.5
28832,3.57577188,0.92365117,5.3
28843,3.58114212,0.95437638,4.8
28885,3.60669759,0.95003129,5.5
28928,3.63835736,0.93774301,5.6
29046,3.72402546,0.90390869,4.6
29071,3.73572637,0.89652783,4.9
29137,3.77513263,0.90496694,4.1
