Star ID,Ra,De,Magnitude
5326,1.26802693,1.23816556,6.4
5385,1.31918443,1.29624149,6.2
5403,1.32739576,1.2874236,6.8
5407,1.32934755,1.2927134,6.0
5455,1.36299401,1.29061096,5.4
5464,1.37267484,1.33470021,6.3
5483,1.38850352,1.27876769,5.8
5496,1.40742573,1.38284405,5.2
5501,1.39905382,1.2516541,6.8
5516,1.42322547,1.3685978,6.8
5530,1.43465337,1.36660192,6.8
5535,1.4373899,1.36096465,6.5
5539,1.43335434,1.29691126,6.9
5587,1.47423831,1.250591,6.8
5593,1.48234493,1.30976197,6.4
5594,1.47803419,1.22810209,6.9
5620,1.49670106,1.29129557,6.8
5730,1.59330147,1.31922016,6.5
5817,1.66112162,1.25918306,6.8
5861,1.69402748,1.23107831,6.0
5874,1.71508451,1.37845319,6.7
5909,1.73623361,1.28622883,6.2
5911,1.74655156,1.38927399,6.5
5919,1.74742765,1.36128599,5.9
5925,1.74769912,1.25224916,6.1
5946,1.7725329,1.38866773,5.6
6022,1.83288697,1.34350913,4.8
6041,1.83852598,1.23583555,5.8
6050,1.8503324,1.31297037,6.9
6074,1.85817955,1.23450454,6.6
6102,1.89331717,1.37447544,6.9
6115,1.89353265,1.25343705,6.5
6357,2.08420631,1.35396855,6.8
6363,2.09269813,1.39384384,6.9
6378,2.09524624,1.29011156,5.6
6392,2.115272,1.3871827,5.3
6487,2.17964011,1.32220772,5.7
6504,2.1845951,1.26374511,6.2
6511,2.19109202,1.30585918,6.5
6592,2.25501914,1.30417072,6.3
6605,2.26766172,1.28508011,6.3
6618,2.28137717,1.2770403,6.9
6784,2.41756783,1.25062683,6.5
6792,2.42547134,1.27315103,5.9
6794,2.4303936,1.34518038,6.9
6816,2.44315225,1.29183206,6.5
6858,2.47773035,1.31072118,6.3
6897,2.5066482,1.2187703,4.6
6898,2.50844407,1.26022507,5.8
6900,2.51376987,1.29708778,6.4
6917,2.52503604,1.31260507,6.7
6918,2.52324104,1.22638512,6.8
6936,2.54361333,1.26104538,5.4
6945,2.55010217,1.30180187,6.7
6948,2.55478438,1.36370967,6.4
6956,2.56259356,1.38119437,6.1
7009,2.61092486,1.27198626,6.0
7088,2.68905932,1.37788101,6.7
7098,2.69661703,1.27536842,6.5
7099,2.6958536,1.24024202,6.6
7164,2.77111241,1.32144012,5.0
7229,2.85148999,1.21917745,6.1
7255,2.87955692,1.35734435,6.3
7272,2.89486615,1.22226809,6.6
7287,2.91627494,1.25592477,6.9
7395,3.04431825,1.35430564,6.7
7445,3.114168,1.28728378,6.8
7480,3.14541711,1.22588145,6.7
7500,3.16451028,1.342257,6.0
7512,3.18430326,1.3030875,6.4
7513,3.184417,1.3507202,6.9
7521,3.19311041,1.35160101,6.6
7522,3.19481923,1.35465926,5.1
7532,3.20766144,1.22522443,5.9
7533,3.21005239,1.26625286,6.5
7540,3.22377512,1.31179994,5.4
7563,3.25676388,1.25541441,6.4
7593,3.28768937,1.21803445,3.9
7600,3.29314446,1.22211115,5.2
7611,3.30250539,1.22495701,6.7
7714,3.39810064,1.31724391,6.2
7741,3.42446231,1.27453129,6.3
7782,3.46244962,1.27057909,6.4
7814,3.51742335,1.26346949,6.1
7821,3.52099,1.37259174,5.9
7848,3.55485579,1.33598933,6.7
7854,3.56563225,1.24341183,5.7
7867,3.58090708,1.34117776,6.6
7876,3.58949403,1.36247834,6.1
7895,3.62168132,1.37873656,6.6
7953,3.69545987,1.30190727,6.3
7958,3.70380102,1.35345867,5.0
8024,3.78529357,1.32114429,4.4
8054,3.81197842,1.39033723,6.4
8102,3.88643918,1.29425734,2.2
8111,3.89668456,1.36444304,6.5
8140,3.92895635,1.25254727,6.7
8207,4.00159935,1.2535632,5.1
8211,4.0028229,1.29233433,6.7
8220,4.01743712,1.25374045,3.1
8274,4.06406556,1.35000069,5.3
8328,4.1192328,1.35777007,4.3
8376,4.16704275,1.31901789,6.9
8415,4.20983386,1.2263029,6.7
8417,4.2041563,1.34030267,5.6
8446,4.23602594,1.32431337,5.5
8452,4.24348911,1.3126726,6.5
8462,4.25230077,1.28098067,6.0
8470,4.26517519,1.32217771,5.0
8485,4.27527301,1.32894377,6.9
8527,4.30100979,1.37818116,5.5
8544,4.32609671,1.2673176,6.5
8548,4.32251013,1.35169632,6.4
8571,4.34305455,1.35707543,6.9
8592,4.35407987,1.37738684,6.4
8598,4.36642705,1.26836,6.9
8602,4.3718351,1.28957341,6.8
8612,4.3768487,1.35287534,6.0
8634,4.39670175,1.38760293,6.9
8651,4.41969239,1.31585017,6.8
8667,4.43435869,1.27632273,6.2
8674,4.43384563,1.35529718,6.7
8690,4.45260559,1.31292388,6.9
8697,4.45787322,1.31418362,6.3
8748,4.52136124,1.25301507,6.8
8862,4.61267505,1.26459479,6.0
8890,4.63358482,1.25923532,4.9
8891,4.63370016,1.25937466,6.1
8939,4.66635578,1.34325479,5.0
8945,4.67493472,1.30147263,6.8
8946,4.66952137,1.36671027,6.4
8961,4.6913814,1.25672879,5.5
8962,4.68814708,1.31198014,6.4
8994,4.71263347,1.39627644,6.2
8996,4.71305759,1.39633399,5.8
8999,4.7248142,1.32278868,6.8
9084,4.80296088,1.24508124,4.2
9087,4.80426537,1.26942848,3.7
9130,4.81768375,1.38270229,6.6
9151,4.84219319,1.35345135,5.8
9181,4.8690821,1.26327057,6.9
9199,4.87560446,1.35588729,6.9
9222,4.90075051,1.23556706,6.6
9241,4.91213784,1.29303464,5.4
9250,4.91471453,1.31657172,5.4
9256,4.9115141,1.39526764,6.3
9276,4.94369274,1.25292446,6.9
9283,4.94974365,1.24437094,4.9
9286,4.94606093,1.32274233,6.6
9296,4.96525519,1.34479117,6.5
9341,5.01417641,1.33623193,5.1
9366,5.04203848,1.28029413,4.6
9390,5.05679255,1.2837014,6.7
9404,5.06839579,1.33621714,5.8
9414,5.06873816,1.3893296,6.0
9447,5.10947706,1.23900715,6.3
9467,5.12436326,1.24974825,6.7
9540,5.18438339,1.22640549,4.0
9592,5.23031136,1.22813661,6.5
9606,5.23429246,1.33485137,6.4
9629,5.24662299,1.39069745,6.7
9631,5.25539334,1.28996592,6.9
9665,5.27477421,1.3563196,4.4
9793,5.36693697,1.26591707,6.4
9802,5.37346392,1.30820475,5.2
