# row col id
834.34	852.16	54471.00
431.21	1203.29	54058.00
645.38	673.06	54281.00
545.74	504.99	36699.00
391.83	1009.01	54033.00
140.52	799.15	-1.00
128.37	669.89	-1.00
747.70	66.96	36972.00
463.33	17.00	36620.00
378.10	279.00	36509.00
910.10	162.95	-1.00
69.14	162.86	-1.00
882.89	1134.45	54493.00
452.50	104.66	36602.00
395.82	895.00	-1.00
754.33	293.00	36950.00
439.66	619.04	54079.00
607.85	749.00	-1.00
900.28	1226.06	74546.00
762.79	1120.93	54374.00
276.30	285.10	36390.00
457.10	496.30	-1.00
