# row col id
103.84	865.97	-1.00
737.05	314.03	37735.00
919.31	783.01	55306.00
765.36	1192.52	74996.00
415.57	437.29	37362.00
819.28	160.79	37867.00
270.13	182.22	37228.00
861.89	596.56	55289.00
46.37	75.06	-1.00
464.56	347.00	37434.00
471.41	485.88	37418.00
545.75	839.00	54912.00
631.51	120.07	-1.00
43.14	302.41	36950.00
206.30	180.60	37155.00
706.21	671.00	-1.00
421.90	721.00	-1.00
417.87	233.00	37406.00
1033.71	808.43	55420.00
628.02	447.51	-1.00
874.47	511.00	-1.00
144.05	1149.50	54493.00
1031.76	1085.16	-1.00
603.30	643.10	-1.00
