# row col id
890.71	783.90	55306.00
709.31	314.61	37735.00
736.31	1193.06	74996.00
386.32	438.38	37362.00
1014.70	833.85	55427.00
388.32	232.98	37406.00
1003.55	1086.04	55347.00
240.56	182.39	37228.00
790.49	161.54	37867.00
17.20	74.66	36972.00
833.19	596.98	55289.00
14.65	302.29	36950.00
441.57	486.81	37418.00
600.06	448.72	-1.00
1003.89	870.31	55397.00
436.09	347.20	37434.00
414.93	303.80	37419.00
177.00	180.50	37155.00
677.55	671.44	-1.00
1005.22	809.65	55420.00
82.50	722.30	-1.00
826.36	917.07	55218.00
955.08	317.08	-1.00
