# row col id
935.21	870.90	54471.00
516.09	1206.20	-1.00
751.06	684.77	54281.00
484.14	1010.80	54033.00
656.67	512.55	36699.00
232.61	661.79	53777.00
239.79	791.04	53798.00
592.53	22.02	36620.00
875.15	308.01	36950.00
876.28	81.30	36972.00
497.33	281.00	36509.00
577.89	108.78	36602.00
1035.70	182.84	37155.00
546.30	623.00	54079.00
394.97	283.73	36390.00
190.97	153.48	36123.00
281.89	713.40	53828.00
853.13	1136.91	54374.00
911.69	432.44	-1.00
493.97	896.82	-1.00
709.67	758.33	-1.00
310.30	661.90	-1.00
