# row col id
562.93	867.52	54471.00
145.29	1205.89	-1.00
379.61	682.31	54281.00
873.77	439.04	-1.00
112.44	1009.98	54033.00
285.60	510.01	36699.00
220.69	18.39	36620.00
505.14	81.00	36972.00
502.09	307.00	36950.00
663.57	183.62	37155.00
726.93	184.79	37228.00
929.57	487.08	-1.00
736.50	709.00	54655.00
125.96	277.10	36509.00
874.52	233.58	-1.00
121.55	895.03	-1.00
21.83	279.12	36390.00
206.58	105.06	36602.00
725.88	318.96	-1.00
174.21	620.64	54079.00
338.35	757.20	-1.00
601.50	1151.00	54493.00
742.30	72.50	-1.00
