# row col id
57.58	866.42	54471.00
697.03	314.73	37735.00
880.16	783.80	55306.00
724.65	1192.92	74996.00
1004.51	833.46	55427.00
372.18	438.01	37362.00
779.49	161.53	37867.00
994.94	809.84	55420.00
821.57	597.08	55289.00
225.84	182.03	37228.00
161.51	180.54	37155.00
241.62	69.62	37275.00
993.05	1085.77	55347.00
428.19	486.54	37418.00
503.18	839.23	54912.00
993.69	870.45	55397.00
98.08	1150.56	54493.00
1.79	73.37	36972.00
944.84	317.51	-1.00
66.99	721.75	-1.00
776.03	1074.21	-1.00
665.38	670.83	-1.00
