# row col id
533.01	867.68	54471.00
114.79	1206.03	-1.00
349.93	682.14	54281.00
843.72	439.49	37362.00
475.68	80.99	36972.00
82.27	1009.59	54033.00
255.94	509.61	36699.00
587.29	1241.05	74546.00
472.42	307.00	36950.00
633.81	184.03	37155.00
899.37	487.67	-1.00
572.30	1151.00	54493.00
541.91	723.62	-1.00
697.12	185.00	37228.00
144.26	619.42	54079.00
190.63	18.24	36620.00
844.76	234.01	-1.00
95.09	276.70	36509.00
176.25	105.00	36602.00
706.35	709.00	54655.00
91.54	895.07	-1.00
894.03	348.85	37434.00
509.50	431.00	-1.00
