# row col id
456.17	866.70	54471.00
37.66	1206.66	54058.00
272.42	681.34	54281.00
766.24	438.92	37362.00
5.01	1009.98	54033.00
398.33	79.57	-1.00
178.38	509.02	36699.00
510.22	1240.92	74546.00
556.49	183.07	37155.00
821.90	486.95	37418.00
815.75	347.42	37434.00
620.00	185.00	37228.00
396.50	305.95	36950.00
465.08	723.28	-1.00
16.72	275.55	-1.00
495.40	1150.10	54493.00
629.27	709.00	54655.00
374.80	1131.85	54374.00
982.85	118.50	-1.00
499.40	232.14	-1.00
773.59	722.86	-1.00
67.33	619.33	54079.00
13.17	895.33	-1.00
