# row col id
60.21	866.05	-1.00
729.85	1192.05	74996.00
701.34	313.99	37735.00
885.64	782.40	55306.00
1010.21	832.51	55427.00
784.06	160.60	37867.00
375.66	437.34	-1.00
228.04	181.44	-1.00
826.95	596.40	55289.00
2.70	73.72	-1.00
999.12	1084.85	55347.00
377.04	232.29	-1.00
1000.90	808.19	55420.00
595.00	119.81	-1.00
591.08	447.04	-1.00
163.74	180.47	-1.00
628.71	994.17	-1.00
243.61	69.18	-1.00
820.42	915.70	55218.00
69.22	721.61	-1.00
672.14	670.92	-1.00
431.43	485.08	-1.00
260.29	473.29	-1.00
949.86	316.63	-1.00
