# row col id
71.49	865.75	54471.00
891.82	781.72	55306.00
708.51	312.76	37735.00
737.38	1191.00	74996.00
1015.99	831.25	55427.00
790.44	159.51	37867.00
384.39	436.78	37362.00
237.96	181.04	37228.00
386.04	231.12	37406.00
13.87	73.60	36972.00
1006.76	807.05	55420.00
434.21	346.59	37434.00
174.07	179.37	37155.00
833.62	595.19	55289.00
680.79	671.00	-1.00
1005.37	868.35	55397.00
112.85	1149.36	54493.00
1004.60	1084.31	55347.00
80.24	721.32	-1.00
47.38	426.56	-1.00
602.26	118.98	-1.00
516.35	838.35	54912.00
827.00	914.50	55218.00
