# row col id
492.92	867.41	54471.00
74.02	1206.28	-1.00
309.50	681.74	54281.00
435.20	80.73	36972.00
803.58	439.29	37362.00
41.96	1009.79	-1.00
546.72	1241.01	74546.00
657.43	185.02	37228.00
215.32	509.00	36699.00
433.07	307.00	36950.00
55.35	276.11	36509.00
859.22	487.19	37418.00
852.83	348.66	37434.00
666.40	709.00	54655.00
411.78	1132.61	54374.00
1017.59	448.96	-1.00
136.38	104.47	36602.00
152.30	17.02	36620.00
594.08	183.90	37155.00
804.75	233.59	37406.00
49.50	894.76	-1.00
502.17	724.15	-1.00
832.63	304.38	37419.00
