# row col id
726.57	312.82	37735.00
908.97	781.82	55306.00
755.60	1191.24	74996.00
404.87	436.99	37362.00
1032.05	831.40	55427.00
1023.10	807.10	55420.00
454.61	346.74	37434.00
850.71	595.15	55289.00
617.75	447.01	-1.00
807.88	159.27	37867.00
260.03	181.20	37228.00
460.40	484.99	37418.00
1022.21	868.29	55397.00
195.58	180.09	37155.00
845.68	914.71	55218.00
697.84	669.97	-1.00
35.96	74.29	-1.00
1022.01	1083.54	55347.00
268.47	706.50	54655.00
863.50	510.20	-1.00
406.22	231.08	37406.00
593.04	642.99	-1.00
33.05	301.28	36950.00
621.07	118.79	-1.00
433.50	303.00	37419.00
